,file_name,text,Total number of sentences,Number of sentences of initial prompt,Number of sentences completely authored by the user,Number of sentences completely authored by GPT-3,Number of sentences authored by GPT-3 and user,Total number of GPT-3 calls made,Number of times GPT-3 suggestion is used,Number of times user rejected GPT-3 suggestion,Number of times GPT-3 suggestion is modified,Number of times GPT-3 suggestion is used as is,GPT-3 : Total Sentences,User : Total Sentences,Amount of GTP-3 Usage,Type Token Ratio
0,8c11358444974bf0b5224183acd8149d.jsonl,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, it seems like people portray characters of Asian descent offensively far too often. Asian women are portrayed as either a submissive exotic beauty or as an overbearing femme fatale. It is rare to see someone of Asian descent playing a regular everyday person. They tend to appear as some sort of radical caricature of what a person is like and it really makes me cringe.   Anothersexample of this is the tereotypes for Asian characters athpt apear in the martial arts genre.
 I mean no disrespect to the genre in itself, but even comedy movies make fun of these characters as a spoof in an offensive way. What I would love to see is a martial arts film with an Asian actor portraying the character realistic as a normal human being. Or more romantic comedies with an Asian lead would be nice. As far as I know of, there isn't a romantic comedy with a Vietnamese woman or anyone else of Asian descent in it. 
When characters have a different ethnicity, it's offensive to always see that presented as the most prominent thing about them, especially Asian characters. It's like, This is the Asian character. People are just people and it would be nice to see it more that way in movies and books. ",15,4,6,0,5,5,5,0,3,2,0.0,0.4,0.3333333333333333,0.5647058823529412
1,c7dc5563ed07478f9284190b6085f4d3.jsonl,"How Worried Should We Be About Screen Time During the Pandemic?

The coronavirus pandemic ended the screen time debate: Screens won. We all now find ourselves on our screens for school, for work and for connecting with family and friends during this time of social distancing and increased isolation.

But should we be worried about this excessive screen use right now? Or should we finally get over it and embrace the benefits of our digital devices?

---

In my opinion, the term ""screen"" is unhelpful. Long before the social media age and the pandemic, people sat at home glued to TV screens for hour after hour.  

There are three main purposes of looking at a screen: for information, for social connection and for entertainment. If we divide our screen time to embrace social media and education, we are putting them to good use. And as for entertainment, this has come in large part via screens since relatively early in the twentieth century.
In my opinion, screen time icsn be a beneficial as any other leisure activity.
 The mechanics and ergonomics of screen use are another issue. Hunching over a screen is unhealthy, as is long-term squinting at a screen and its attendant physical immobility. But these are practical, not moral issues. Improved AI,  AR and robotics are likely to progressively integrate the main functions of screen time with the physical world in a relatively healthy manner. 

In time, whole populations might live mostly in virtual environments without any significant increase in health problems. The benefits of physical exercise and fresh air will still apply, but exercise has been integrated with VR and gaming since the Nintendo Wi. 

Reality and entertainment will merge in the best possible ways. Do you agree? Write me @twitter_handle.",20,6,10,0,4,6,4,2,3,1,0.0,0.5,0.2,0.6135593220338983
2,05a000131fc642f7bb20b62bb20a326e.jsonl,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. At first this just caused mass confusion but after a while data scientists started to realize there was a system to the rankings. he rankings are determined by sieveral factors. From a dad's wealth to the amount of time spent with kids and also what the kids post about their parents. There was about 122 data points in all. 
he system was taken over by the state and eventually was privatized to a company called Equation.
 Equation, orginized all the ranking and gave detailed eplanations on each category so all the dad's could understand why they were at that particular rating. 
This created a society based on tiers. They were the 1%, 10% 49%, 51%, 75% and the dreaded 10%. This would now determine the fate of every dad on earth. You were hired and fired based on these numbers. You were welcome to certain places or unwelcome at others. You could only get loans if you fell in to the upper tiers. It was a nightmare scenario.
Then the dad's from the bottom 50% started a war with the dad's from the top 50%. It was a very quick and brutal war that was easily won by the top 50% because they had almost all the wealth and resources. After that the dad's from the bottom 50% were forced to live in a walled off community where their ranking would not be a factor. The top 50% went on to marry a minimum of two wives and repopulated the world. All was fine for hundreds of years until a similar event happened only this time every dad's drivers licenses changed, adding a numerical ranking which started started a whole new war with the same outcome. This went on for ages until human kind made it out to the stars and found out a couple of alien teenagers had been playing pranks on earth for the past couple thousand years. The kids were grounded and mankind was left to progress on its own.  - The End",22,1,18,0,3,6,3,3,3,0,0.0,0.8181818181818182,0.13636363636363635,0.5484764542936288
3,7834dec912b34643afb92b7c3648a3fe.jsonl,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. 

On the screen I see myself as a doctor who works in remote areas to save lives. One day I am called to a village to treat a patient. The patient is very sick and needs medicine. I have no medicine with me, but I try to make the patient comfortable and wait for him to get well. The next day I went to a different village to find the right medicine for the sick patient. I leave the patient behind and continue my journey. I found the medicine but it was very expensive. I was sad, thinking that the patient will not be able to afford it. So I used my own money to pay for the medicine to save the man. I returned to the village and gave the medicine to the patient. After one day the man started regaining his health. The patient was very thankful and promised to pay me back. I told him it was not necessary since I knew it would be very hard for him to pay me. I left the village and continued on with my journey. The next day I was called to another village for work. This time it was a sick woman who needed medicine. She had been sick for a whole week. I was still thinking about the patient from the previous day. ""What if she also can't afford medicine?"", I wondered. But I decided to treat the woman anyway. I treated her for a few days, and the woman started feeling better. She paid me for the medicine. As it turns out she was very wealthy and could afford the medicine. ""I heard what you did,"" she said, referring to paying for the other patient's medicine. And she slipped a diamond into his hand. ""You can keep this as a reward."" And then she left. 

As I watched this on the screen I was so amazed. I guess in another life I finally learned that kindness can pay off in unexpected ways. ",32,2,18,1,11,12,12,0,0,12,0.03125,0.5625,0.375,0.4699738903394256
4,105bf88bb4bc42688e06a54644e2989b.jsonl,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the “Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered. The side effects are quite devastating, and you suddenly realize at the ripe old age of 85 how lucky you are to have escaped them entirely. However, some of the people that you love aren't quite so lucky. For example, your wife, Soeurette, is several years younger than you. She did receive the drug. She isn't aging, but the drug has its consequences. And they are manifesting now, all these years later. Will you be able to help her? 

You frankly don't trust that you will be able to help her. All your life you've done nothing but protect her from harm's way but now you don't think you will be able to. You don't think you can protect her from herself or the heinous results of a flawed experiment. Soeurette's blonde hair has all fallen out. Her fingers and toes have all distorted into claw-like appendages. And perhaps worst of all, she's lost all sense of sanity. Her mind is actually going crazy and you are watching her rapid snowball decline from reality. 
And the worse part is, it's happening right before your eyes.
 Your heart aches for the woman that you love and suddenly you realize what you need to do. You need to do whatever it takes to stop the people that did this to her and other innocent victims. You immediately identify the pharmaceutical company that created this drug so many years ago. It was called Biogenetic Research. You vow to hold them responsible for their negligence. You will be the one to make them pay. And you have decided to do so by filing a class action lawsuit. Once the lawsuit has been filed, however, you realize that Soeurette's functioning is just getting worse and worse. Her pain and discomfort is intensifying each and every day. So, one day, when the pain is particularly bad for her, you tell her that you understand if she needs to let go and head to heaven without you. She nods and you say you'll come back to check on her, but then when you come back, she's already gone. You are devastated that she is gone. You really can't believe that you just lost the love of your life. You take this pain and hurt you are experiencing to court and fight back hard against Biogenetic Research. Eventually, you win the lawsuit. The court decides that there is enough merit to your case to warrant a huge amount of money in damages, awarded to you. You are absolutely happy that justice was served in this incident, although Soeurette's death puts a damper on how you are feeling and makes you feel guilty all over again for having allowed this all to happen to her. However, you know you are taking baby steps toward rectifying this situation for Soeurette. So you will count this experience of going to court on her behalf as a total win and will not let anyone else tell you otherwise. ",37,3,24,0,10,13,10,3,0,10,0.0,0.6486486486486487,0.2702702702702703,0.49113475177304966
5,820a0ffa457343b2a3d1e69a48d604e8.jsonl,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the “Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.` For years the ""Lost Generations"" were upset about losing out on immortality. Bu now, those who took the drug are not doing well. They are losing their minds, their memories, and their ability to function. Things have gone terribly wrong.
TSomething has to be done quickly because there are so many people afflicted they will become a burden on society. The government decides to send you back in time to the year 2016 to stop the drug from being distributed. You meet the drug distributor and tell him there will be no deal. He offers you immense bribes and kickbacks and you realize the truth. The government knew the drug was not safe the whole time. The were bribed into distributing it. 
 
You completed the mission of stopping the drug from being distributed but you also learned he truth. If the government finds out you know the truth you will surely be a target. You must forever keep this a secret. You will be hunted by the government and the drug distributor. You have really made some enemies.
You are now a target and must stay hidden.
 You start a new life in a small town and you live in the most generic way you can so you draw little attention to yourself. You have a job, a house, and a family. You have learned that it is never a good idea to want to be immortal but instead to live for your family and pass on all of the things that are good about you to them. That is the real way you can live on forever.",22,3,12,0,7,17,7,10,2,5,0.0,0.5454545454545454,0.3181818181818182,0.5325077399380805
6,c039bcb6f714453da0b08e92e1000f8d.jsonl,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time.

She was nervous. She had been dating guys for a long time, but it never seemed to work out. She knew it was mostly her fault. She had secrets she just couldn't tell anyone. She was a shapeshifter, and she was certain that if anyone found out, they'd be horrified. Or worse, but her in prison or a lab. 

She had been dating a guy named Jeff for a while now. And it was really going well. Almost too well. She was worried he was going to ask her to move in with him. She was afraid to say no, but she was also afraid to say yes. She didn't want to lose him, but she was almost certain to slip and let him see her abilities if they lived together. 

She looked up to see Jeff come in the coffeshop door.

Jeff stood outside the door for a while calming his breathing. He was certain he was doing the right thing. He had to do this. But he was so afraid of losing her again. Each time he changed shape and dated her again she seemed more cautious, more skittish, and would break up with him for more and more minor things. He had to do this, he had to tell her.

He entered the shop, and smiled at Tracy walking over. ""It'll be ok, I can make this work,"" he though to himself as they sat down.

They chatted for a while, normal things, how their day was, what was new at work. And then Jeff looked at Tracy with a serious expression. ""Oh no,"" she thought ""he is going to ask me to move in.""

Jeff took a deep breath. ""We've been dating for a little while now, and you know I am completely in love with you. But I have to tell you something."" Jeff looked at Tracy's expression, and could see she was bracing herself. His heart sank a but, but he continued. ""This has nothing to do with how much I love you, and I really do want to be close to you, but...I don't think I'll ever want to move in with you.""

Tracy was shocked. This was literally the last thing she has ever expected. Her hopes began to rise. 

He continued ""It's not you I swear! I've just..had some bad experiences. And I've gotten so used to living alone and having a lot of space. And to be honest I've never really like that marriage had to be a legal thing rather than just a commitment between people. I'm totally committed to you, and I'll always be there for you. But I needed you to know I can't live with you, or have a traditional marriage.""
Tracy was stunned.
 It was...perfect, the perfect solution for her situation. Almost too perfect. But she would take it. For as long as it would last. ""Oh, Jeff, you didn't need to worry so much. I love you, for who you are. And if that means we're not a traditional couple that is fine. To be honest, I'm not eager to change my life that way either.""

They smiled at each other, both hopeful for the first time in a long time, that their secret was safe. 
The End
",52,2,40,0,10,11,10,1,3,7,0.0,0.7692307692307693,0.19230769230769232,0.3993660855784469
7,4be21e1efc0b433bb4c32954340f3da6.jsonl,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation. The United States is now the only nation on the planet. Everyone else fought so violently and endlessly over the past 50 years that they wiped each other out. The people of the US are in disbelief and sadness that their families and friends all over the world are simply gone.
The US government decides to send a team of astronauts to the Moon to see if there is any life there.
 As people spanned the globe searching for other humans, there were documents found that some may have escaped the horror and violence of Earth and made it safely to space. The astronauts are sent to the Moon to find out if this is true.
The astronauts land on the Moon and find a small colony of people who have been living there for 50 years.
 These intelligent people could see what was going to happen to the remaining countries after the third world war, and fled to space as soon as they were able to obtain a space craft. They have been living peacefully there for fifty years, and aren't happy to see anyone from Earth searching them out. They are a very peaceful people, and don't want to be bothered by anyone. The moon citizens remember how violent and unethical the people from the US had been in the past, and they want to part of them in their peaceful colony. The astronauts are sent back to Earth with the message that the Moon citizens want to be left alone.

The US government is disgusted to find out that these people don't want to return to Earth. And further irritated that they don't want to welcome Americans to their homestead. The US government decides that the Moon citizens must be destroyed, and sends a team of astronauts to the Moon to destroy the colony. No one can be allowed to live who disagrees with the commands of the US government. As the other countries were dying out over the past 50 years around the globe, the United States was becoming a dictatorship. The free will of the people was reduced to nothing, and the government told everyone what to do in almost all aspects of their lives.
The astronauts land on the Moon and find that the Moon citizens are not willing to fight for their lives.
 They escaped the horror of Earth to get away from violence and it has long not been a part of who they are. Intrigued by this stand and show of peace, the astronauts decide to disobey their government. They simply can't bring themselves to take innocent lives, even at the command on their country. The astronauts return to Earth and tell the US politicians that the moon colony has been destroyed and its citizens annihilated. There is no way for the government to find out if the astronauts speak the truth, so they believe them. The moon people continue to live in peace and watch from afar the remaining people of the world living in misery under a strict regime. ",28,2,18,1,7,15,8,7,0,8,0.03571428571428571,0.6428571428571429,0.2857142857142857,0.39215686274509803
8,5265ab6df085473795385139bc7f821a.jsonl,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. Even with his life potentially being in constant danger, his life-long TV enemy Jimmy Kimmel even joked about it on his late-night talk show. Kimmel said, ""Matt Damon, if you can see this, it's Jimmy Kimmel. I don't know if you know this, but you've been kidnapped."" A lot of other news media outlets are also doubting the credibility of the alien story. ""The aliens have been with us for just over a year, and they've been very friendly,"" said the CNN reporter. ""It's not very likely that they kidnapped Matt Damon, but even if they did, Mr. Damon is a very nice man, and he's a very good actor, and I'm sure he'll be fine.""

Of course, Matt Damon was well known for this sci-fi movies such as The Martian, Interstellar, and The Bourne Identity. So for any celebrity to be kidnapped by aliens, Matt Damon would be on top of the list for the most qualified celebrity to take on the aliens. One of the most popular Youtuber, PewDiePie, said, ""I'm not saying that Matt Damon is a bad actor, but he's not the best actor out there."" as he tried to contact the alien spaceship to see if Matt is still in there. Upon being beamed up to the space ship, PewDiePie was greeted by the alien guard and said  ""I'm sorry, but you can't come in.

Other pranksters and social media influencers were also trying to save Matt Damon but no efforts have come close to getting him back. The hashtag #SaveMattDamon was trending on Twitter, and even the President of the United States, Donald Trump (who is in his 5th term), tweeted about it. ""Matt, I sure do hope you're okay. I'm doing all I can to get you back. I'm sending all of my best people to help you. #SaveMattDamon,"" the President tweeted on Thursday. 

We tried reaching the alien's spokesperson but we have yet to receive a response. ",19,1,9,1,8,15,11,4,0,11,0.05263157894736842,0.47368421052631576,0.47368421052631576,0.5080645161290323
9,28235ea07022429aa701f74544db5684.jsonl,"How Worried Should We Be About Screen Time During the Pandemic?

The coronavirus pandemic ended the screen time debate: Screens won. We all now find ourselves on our screens for school, for work and for connecting with family and friends during this time of social distancing and increased isolation.

But should we be worried about this excessive screen use right now? Or should we finally get over it and embrace the benefits of our digital devices?

---

In my opinion, although extra screen time has been needed during the pandemic, I still think we should be very worried about the excessive screen use if it continues.  think we should be worried about titbecause it has been shown to cause a variety of problems.
 One of these problems I have personal experience with and that is impaired sleep. It is now well known that staring at these screens, especially right before bedtime, can have a detrimental effect on our sleep-wake cycles.  have been using my fsmartphone to check email or a few years now and I have noticed that when I use it before bedtime, I hseem to awaken randomly in the night. Sometimes it may even take me up to an hour to fall asleep again. This is not good for my sleep-wake cycle and I am sure it is not good for my health. I hate to imagine how this affects the developing brains of children as young as 6. 
Another reason we still need to be worried about excessive screen use is because of the lack of physical activity. Especially if people are playing games and doing other things with their devices for long periods of time throughout the day, that is less time that someone may be standing up to do anything at all. It's hard to make time for exercise with you face always in a screen.  
he last reason I think we should be worried about excessive screen use is because of the lack of social interaction.
 This, of course, would not apply to those who use the screen to connect with others through zoom. But, if you're only doing activities on your screen in isolation, this could have bad effects on our ability to socialize over time. 
The pandemic has caused the need for more screen use, yes. However, I feel that we need to take caution and show concern about our excessive screen use. There are just too many associated risks not to. ",22,6,11,0,5,5,5,0,3,2,0.0,0.5,0.22727272727272727,0.5169902912621359
