,Metrics,Mean,Median,Standard Deviation,Minimum,Maximum
0,Total number of sentences,28.96265560165975,27.0,10.388909909258523,11.0,78.0
1,Number of sentences of initial prompt,4.421161825726141,4.0,2.3909859029112486,0.0,9.0
2,Number of sentences completely authored by the user,16.24273858921162,15.0,9.535179050568926,0.0,64.0
3,Number of sentences completely authored by GPT-3,0.6853388658367912,0.0,1.8864423445191325,0.0,22.0
4,Number of sentences authored by GPT-3 and user,7.6134163208852,6.0,5.953072577616293,0.0,42.0
5,Total number of GPT-3 calls made,12.531120331950207,10.0,9.204158194377401,0.0,65.0
6,Number of times GPT-3 suggestion is used,8.857538035961273,7.0,7.424057788661343,0.0,47.0
7,Number of times user rejected GPT-3 suggestion,3.673582295988935,3.0,3.530339833311101,0.0,24.0
8,Number of times GPT-3 suggestion is modified,1.586445366528354,1.0,1.796857239727531,0.0,10.0
9,Number of times GPT-3 suggestion is used as is,7.271092669432918,5.0,7.233591709071116,0.0,47.0
10,GPT-3 : Total Sentences,0.021900159513948924,0.0,0.05414721819670052,0.0,0.6111111111111112
11,User : Total Sentences,0.5412613590031221,0.5641025641025641,0.2050638528051787,0.0,0.9629629629629628
12,Amount of GTP-3 Usage,0.28488982378228767,0.25,0.18287359034209993,0.0,0.8666666666666667
13,Type Token Ratio,0.4818380567871255,0.4821182605273514,0.059787981302170196,0.2879417879417879,0.6879432624113475
14,lemma_ttr,0.40131707741179395,0.4,0.054883079487936054,0.24099378882,0.585365853659
15,lemma_mattr,0.7271109612999902,0.7299738985105,0.03951237709663143,0.525378787879,0.848905660377
16,lexical_density_tokens,0.49564146605034715,0.4981125356125,0.0383331906106879,0.370629370629,0.594936708861
17,lexical_density_types,0.7273608443390326,0.729048148737,0.037499077429310156,0.564102564103,0.834080717489
18,content_ttr,0.5889715784283506,0.5848877793955001,0.07356323006431713,0.342465753425,0.838461538462
19,function_ttr,0.23637779616818358,0.232227488152,0.04854086523560567,0.0991561181435,0.460526315789
20,function_mattr,0.4707190045682276,0.47174861433899995,0.043053966863908506,0.317637795276,0.609259259259
21,noun_ttr,0.5774088470875546,0.571428571429,0.09677015965996227,0.225352112676,0.875
22,verb_ttr,0.5770718407131895,0.571428571429,0.09397866435882778,0.282352941176,0.918918918919
23,adj_ttr,0.7470533797022779,0.75,0.12301392483821959,0.3,1.0
24,adv_ttr,0.6510309263067585,0.644444444444,0.12426204547363279,0.27027027027,1.0
