worker_id,writing_type,prompt_code,Cluster
A118BQHK3S4UDV,argumentative,animal,0
A118BQHK3S4UDV,argumentative,athletes,0
A118BQHK3S4UDV,argumentative,dating,0
A118BQHK3S4UDV,argumentative,stereotype,0
A118BQHK3S4UDV,creative,dad,2
A118BQHK3S4UDV,creative,obama,2
A118BQHK3S4UDV,creative,sideeffect,2
A1198W1SPF1R4,argumentative,animal,"0,1"
A1198W1SPF1R4,argumentative,athletes,"0,1"
A1198W1SPF1R4,argumentative,audiobook,"0,1"
A1198W1SPF1R4,argumentative,dating,"0,1"
A1198W1SPF1R4,argumentative,extremesports,"0,1"
A1198W1SPF1R4,argumentative,news,"0,1"
A1198W1SPF1R4,argumentative,pads,"0,1"
A1198W1SPF1R4,argumentative,school,"0,1"
A1198W1SPF1R4,argumentative,screen,"0,1"
A1198W1SPF1R4,argumentative,stereotype,"0,1"
A1198W1SPF1R4,creative,bee,"1,0"
A1198W1SPF1R4,creative,dad,"1,0"
A1198W1SPF1R4,creative,isolation,"1,0"
A1198W1SPF1R4,creative,mana,"1,0"
A1198W1SPF1R4,creative,obama,"1,0"
A1198W1SPF1R4,creative,pig,"1,0"
A1198W1SPF1R4,creative,reincarnation,"1,0"
A1198W1SPF1R4,creative,shapeshifter,"1,0"
A1198W1SPF1R4,creative,sideeffect,"1,0"
A143XRCI1YXAFE,argumentative,athletes,0
A143XRCI1YXAFE,argumentative,extremesports,0
A143XRCI1YXAFE,argumentative,school,0
A143XRCI1YXAFE,creative,bee,2
A143XRCI1YXAFE,creative,dad,2
A143XRCI1YXAFE,creative,isolation,2
A143XRCI1YXAFE,creative,mana,2
A143XRCI1YXAFE,creative,mattdamon,2
A143XRCI1YXAFE,creative,obama,2
A143XRCI1YXAFE,creative,reincarnation,2
A143XRCI1YXAFE,creative,shapeshifter,2
A173MXK429XAZQ,argumentative,extremesports,0
A173MXK429XAZQ,creative,mana,2
A173MXK429XAZQ,creative,sideeffect,2
A17AF42SNQNH9C,argumentative,news,0
A17AF42SNQNH9C,creative,dad,"1,0"
A17AF42SNQNH9C,creative,isolation,"1,0"
A1E235KE3CSO7H,argumentative,animal,"0,2"
A1E235KE3CSO7H,argumentative,athletes,"0,2"
A1E235KE3CSO7H,argumentative,dating,"0,2"
A1E235KE3CSO7H,argumentative,extremesports,"0,2"
A1E235KE3CSO7H,argumentative,pads,"0,2"
A1E235KE3CSO7H,argumentative,screen,"0,2"
A1E235KE3CSO7H,creative,bee,"2,0"
A1E235KE3CSO7H,creative,dad,"2,0"
A1E235KE3CSO7H,creative,isolation,"2,0"
A1E235KE3CSO7H,creative,mana,"2,0"
A1E235KE3CSO7H,creative,pig,"2,0"
A1E235KE3CSO7H,creative,reincarnation,"2,0"
A1E235KE3CSO7H,creative,sideeffect,"2,0"
A1PBRKFHSF1OF8,argumentative,school,0
A1PBRKFHSF1OF8,creative,bee,2
A1PBRKFHSF1OF8,creative,mana,2
A1PBRKFHSF1OF8,creative,mattdamon,2
A1PTH9KTRO06EG,argumentative,animal,"2,0"
A1PTH9KTRO06EG,argumentative,athletes,"2,0"
A1PTH9KTRO06EG,argumentative,audiobook,"2,0"
A1PTH9KTRO06EG,argumentative,dating,"2,0"
A1PTH9KTRO06EG,argumentative,extremesports,"2,0"
A1PTH9KTRO06EG,argumentative,news,"2,0"
A1PTH9KTRO06EG,argumentative,pads,"2,0"
A1PTH9KTRO06EG,argumentative,school,"2,0"
A1PTH9KTRO06EG,argumentative,screen,"2,0"
A1PTH9KTRO06EG,argumentative,stereotype,"2,0"
A1PTH9KTRO06EG,creative,bee,"2,0,1"
A1PTH9KTRO06EG,creative,dad,"2,0,1"
A1PTH9KTRO06EG,creative,isolation,"2,0,1"
A1PTH9KTRO06EG,creative,mana,"2,0,1"
A1PTH9KTRO06EG,creative,mattdamon,"2,0,1"
A1PTH9KTRO06EG,creative,obama,"2,0,1"
A1PTH9KTRO06EG,creative,pig,"2,0,1"
A1PTH9KTRO06EG,creative,reincarnation,"2,0,1"
A1PTH9KTRO06EG,creative,shapeshifter,"2,0,1"
A1PTH9KTRO06EG,creative,sideeffect,"2,0,1"
A1QUQ0TV9KVD4C,argumentative,animal,"0,1"
A1QUQ0TV9KVD4C,argumentative,athletes,"0,1"
A1QUQ0TV9KVD4C,argumentative,audiobook,"0,1"
A1QUQ0TV9KVD4C,argumentative,extremesports,"0,1"
A1QUQ0TV9KVD4C,argumentative,news,"0,1"
A1QUQ0TV9KVD4C,argumentative,pads,"0,1"
A1QUQ0TV9KVD4C,argumentative,school,"0,1"
A1QUQ0TV9KVD4C,argumentative,screen,"0,1"
A1QUQ0TV9KVD4C,argumentative,stereotype,"0,1"
A1QUQ0TV9KVD4C,creative,bee,"1,2,0"
A1QUQ0TV9KVD4C,creative,dad,"1,2,0"
A1QUQ0TV9KVD4C,creative,isolation,"1,2,0"
